보드,방향,상대,채널,ID/포트,신호,바이트,주기_ms,트리거,근거
Front_H723,RX,Rear_H723,UDP,5103,REAR_STATUS,12,50,주기,REAR_STATUS_TIMEOUT_MS=300
Rear_H723,TX,F446,CAN 250k,0x320,led_left,1,100,이벤트+주기(최소간격10ms),LED_CMD_TX_PERIOD_MS
Rear_H723,TX,F446,CAN 250k,0x321,led_right,1,100,이벤트+주기(최소간격10ms),LED_CMD_TX_PERIOD_MS
Rear_H723,TX,F446,CAN 250k,0x322,led_brake,1,100,이벤트+주기(최소간격10ms),LED_CMD_TX_PERIOD_MS
Rear_H723,TX,F446,CAN 250k,0x323,window [수신자없음],1,100,주기,WINDOW_CMD_TX_PERIOD_MS
Rear_H723,TX,F446,CAN 250k,0x201,ping,8,500,주기,CAN250_TX_PERIOD_MS
Rear_H723,RX,F446,CAN 250k,0x301,IMU 쿼터니언,8,0,비주기(BNO085 리포트) 실측 약 47Hz,busload 실측
Rear_H723,RX,F446,CAN 250k,0x311,switch_pressed,1,100,주기,SWITCH_TX_PERIOD_MS
Rear_H723,RX,F446,CAN 250k,0x312,ultrasonic_mm,2,60,주기,ULTRASONIC_PERIOD_MS
Rear_H723,RX,F446,CAN 250k,0x281,ping_echo,8,500,요청 응답,Node_F447_Real
Rear_H723,TX,RearBody_F407,CAN 500k,0x101,ping,8,500,주기,CAN500_TX_PERIOD_MS
Rear_H723,RX,RearBody_F407,CAN 500k,0x181,ping_echo,8,500,요청 응답,RearBody_F407_real
Rear_H723,RX,Jetson,UDP,5001,REAR_COMMAND,12,0,이벤트,zone_udp_protocol.h
Rear_H723,TX,Jetson,UDP,5001,ACK 반향,12,0,수신 시 즉시,COMM_ICD 2.6
Rear_H723,TX,Jetson,UDP,5002,'SR' 텔레메트리,48,100,이벤트+주기(최소간격10ms),RT_PERIOD_MS
Rear_H723,TX,Jetson,UDP,5104,'SP' perf,104,1000,주기,RT_PERF_PERIOD_MS
Rear_H723,TX,Jetson,UDP,5105,'SD' DTC,232,1000,상태변화 시 즉시+하트비트,diagnostic.c
Rear_H723,RX,Front_H723,UDP,5003,FRONT_STATE,12,50,주기,FRONT_TO_REAR_TIMEOUT_MS=300
Rear_H723,TX,Front_H723,UDP,5103,REAR_STATUS,12,50,주기,rear_zone_network.c
F407_Front,TX,Front_H723,CAN 250k,0x210,steering_adc,2,20,주기,CAN_PERIOD_*
F407_Front,TX,Front_H723,CAN 250k,0x211,brake_adc,2,20,주기,CAN_PERIOD_*
F407_Front,TX,Front_H723,CAN 250k,0x212,accel_adc,2,20,주기,CAN_PERIOD_*
F407_Front,TX,Front_H723,CAN 250k,0x213,turn_left_output,1,50,주기,CAN_PERIOD_*
F407_Front,TX,Front_H723,CAN 250k,0x214,turn_right_output,1,50,주기,CAN_PERIOD_*
F407_Front,TX,Front_H723,CAN 250k,0x215,turn_switch,1,50,주기,CAN_PERIOD_*
F407_Front,TX,Front_H723,CAN 250k,0x216,headlamp_output,1,50,주기,CAN_PERIOD_*
F407_Front,TX,Front_H723,CAN 250k,0x217,temperature_x10,2,1000,주기,CAN_PERIOD_*
F407_Front,TX,Front_H723,CAN 250k,0x218,humidity_x10,2,1000,주기,CAN_PERIOD_*
F407_Front,TX,Front_H723,CAN 250k,0x219,dht11_valid,1,1000,주기,CAN_PERIOD_*
F407_Front,TX,Front_H723,CAN 250k,0x21A,actuator_position,2,20,주기,CAN_PERIOD_*
F407_Front,TX,Front_H723,CAN 250k,0x21B,actuator_enable_st,1,50,주기,CAN_PERIOD_*
F407_Front,TX,Front_H723,CAN 250k,0x21C,steering_override_st,1,50,주기,CAN_PERIOD_*
F407_Front,TX,Front_H723,CAN 250k,0x21D,headlamp_override_st,1,50,주기,CAN_PERIOD_*
F407_Front,TX,Front_H723,CAN 250k,0x21E,can_busoff,1,100,주기,CAN_PERIOD_*
F407_Front,TX,Front_H723,CAN 250k,0x281,ping_echo,8,500,요청 응답,main.c
F407_Front,RX,Front_H723,CAN 250k,0x310,steering_override,1,100,이벤트+주기,main.c
F407_Front,RX,Front_H723,CAN 250k,0x311,actuator_enable,1,100,이벤트+주기,main.c
F407_Front,RX,Front_H723,CAN 250k,0x312,actuator_target,2,100,이벤트+주기,main.c
F407_Front,RX,Front_H723,CAN 250k,0x313,headlamp_override,1,100,이벤트+주기,main.c
F407_Front,RX,Front_H723,CAN 250k,0x314,headlamp_command,1,100,이벤트+주기,main.c
F407_Front,RX,Front_H723,CAN 250k,0x315,turn_override,1,100,이벤트+주기,main.c
F407_Front,RX,Front_H723,CAN 250k,0x316,turn_mode,1,100,이벤트+주기,main.c
F407_Front,RX,Front_H723,CAN 250k,0x201,ping,8,500,주기,main.c
F407_Front,내부,DHT11,GPIO,-,온습도 판독,5,2000,주기 (IRQ 4.1ms 차단),DHT11_READ_PERIOD_MS
F407_Front,내부,액추에이터,GPIO,-,제어 갱신,0,10,주기,CONTROL_UPDATE_PERIOD_MS
F446,TX,Rear_H723,CAN 250k,0x301,IMU 쿼터니언,8,0,비주기(BNO085),main.c
F446,TX,Rear_H723,CAN 250k,0x311,switch_pressed,1,100,주기,SWITCH_TX_PERIOD_MS
F446,TX,Rear_H723,CAN 250k,0x312,ultrasonic_mm,2,60,주기,ULTRASONIC_PERIOD_MS
F446,TX,Rear_H723,CAN 250k,0x281,ping_echo,8,500,요청 응답,main.c
F446,RX,Rear_H723,CAN 250k,0x320,led_left,1,100,이벤트+주기,main.c
F446,RX,Rear_H723,CAN 250k,0x321,led_right,1,100,이벤트+주기,main.c
F446,RX,Rear_H723,CAN 250k,0x322,led_brake,1,100,이벤트+주기,main.c
F446,RX,Rear_H723,CAN 250k,0x201,ping,8,500,주기,main.c
RearBody_F407,RX,Rear_H723,CAN 500k,0x101,ping,8,500,주기,REAR_PING_500_RX_ID
RearBody_F407,TX,Rear_H723,CAN 500k,0x181,ping_echo,8,500,요청 응답,REAR_PING_500_TX_ID
